City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,banyo,6.75,11.8167,73.02,39,45,2.21,CM,1668967953
237,yazman,29.1212,71.7446,67.68,27,37,5.77,PK,1668967953
238,trogir,43.5125,16.2517,53.65,71,75,11.5,HR,1668967953
239,tadine,-21.55,167.8833,74.7,86,69,5.08,NC,1668967954
240,cockburn town,21.4612,-71.1419,85.96,58,40,13.8,TC,1668967954
241,mitoc,48.1,27.0333,33.71,100,100,1.5,RO,1668967954
242,wladyslawowo,54.7909,18.4009,30.94,84,70,5.26,PL,1668967955
243,talakan,50.3167,130.3667,10.53,96,84,5.39,RU,1668967955
244,lata,40.1629,-8.3327,61.07,98,94,4.43,PT,1668967955
245,diamantino,-14.4086,-56.4461,92.55,39,45,3.38,BR,1668967956
246,camopi,3.1655,-52.3158,95.2,30,37,3.6,GF,1668967956
247,kokkola,63.8385,23.1307,22.93,88,0,3.44,FI,1668967956
248,san patricio,28.017,-97.5169,52.88,65,100,9.82,US,1668967956
249,katete,-0.7818,29.7544,61.25,98,57,3.85,UG,1668967957
250,samthar,25.85,78.9167,65.7,45,0,3.6,IN,1668967957
251,chapais,49.7834,-74.8492,13.78,91,100,13.0,CA,1668967957
252,pilar,-9.5972,-35.9567,84.13,53,78,11.61,BR,1668967788
253,oksfjord,70.2396,22.3479,24.98,40,0,3.04,NO,1668967405
254,kodiak,57.79,-152.4072,38.71,93,100,4.61,US,1668967958
255,qaanaaq,77.484,-69.3632,-8.01,56,8,1.16,GL,1668967958
256,sao filipe,14.8961,-24.4956,77.2,68,72,14.34,CV,1668967958
257,wangou,42.0623,126.9127,31.98,98,99,3.56,CN,1668967959
258,linxia,35.6003,103.2064,32.72,63,100,3.78,CN,1668967959
259,monrovia,6.3005,-10.7969,79.57,74,94,7.7,LR,1668967879
260,touros,-5.1989,-35.4608,83.3,64,54,16.82,BR,1668967959
261,upernavik,72.7868,-56.1549,13.5,94,100,13.31,GL,1668967960
262,santa barbara,34.7333,-120.0343,66.34,9,0,2.08,US,1668967400
263,baruun-urt,46.6806,113.2792,10.0,74,1,7.45,MN,1668967960
264,nuuk,64.1835,-51.7216,22.87,85,100,8.99,GL,1668967411
265,tayoltita,24.0833,-105.9333,78.48,38,0,5.95,MX,1668967960
266,eureka,40.8021,-124.1637,54.21,100,99,1.99,US,1668967918
267,kudahuvadhoo,2.6708,72.8944,81.75,75,42,15.12,MV,1668967961
268,barrhead,55.7992,-4.3929,42.66,89,100,3.44,GB,1668967961
269,jiayuguan,39.8167,98.3,31.98,31,100,1.95,CN,1668967961
270,mahebourg,-20.4081,57.7,75.49,73,40,8.05,MU,1668967962
271,aripuana,-9.1667,-60.6333,90.68,48,69,1.92,BR,1668967962
272,harper,4.375,-7.7169,77.9,85,96,5.3,LR,1668967760
273,bangassou,4.7413,22.8184,72.43,55,59,2.57,CF,1668967962
274,bintulu,3.1667,113.0333,77.0,90,81,5.66,MY,1668967963
275,batemans bay,-35.7167,150.1833,62.1,60,0,16.13,AU,1668967963
276,marsh harbour,26.5412,-77.0636,77.63,77,47,16.78,BS,1668967963
277,mago,53.2514,140.1822,15.01,99,93,1.16,RU,1668967964
278,torbay,47.6666,-52.7314,39.58,82,100,18.41,CA,1668967964
279,sabang,5.8933,95.3214,81.61,77,100,17.43,ID,1668967964
280,ponta do sol,32.6667,-17.1,68.72,71,64,3.67,PT,1668967719
281,amga,60.8953,131.9608,-13.52,98,99,2.53,RU,1668967965
282,akdepe,42.0551,59.3788,50.94,50,56,9.06,TM,1668967965
283,port hardy,50.6996,-127.4199,44.19,62,100,8.19,CA,1668967231
284,babushkin,51.7122,105.8647,20.1,68,14,9.93,RU,1668967965
285,nizhnyaya tavda,57.6731,66.1725,13.95,96,98,3.83,RU,1668967966
286,lavrentiya,65.5833,-171.0,17.49,88,100,13.62,RU,1668967939
287,taltal,-25.4,-70.4833,65.7,72,25,5.46,CL,1668967966
288,mitsamiouli,-11.3847,43.2844,78.01,79,4,11.88,KM,1668967966
289,sao goncalo do sapucai,-21.8922,-45.5953,78.4,51,39,3.15,BR,1668967967
290,tuatapere,-46.1333,167.6833,51.82,96,45,4.7,NZ,1668967967
291,adrar,20.5022,-10.0711,77.11,12,0,7.78,MR,1668967967
292,uchiza,-8.4592,-76.4633,94.03,40,83,3.78,PE,1668967967
293,balkanabat,39.5108,54.3671,58.77,54,28,3.33,TM,1668967968
294,lasa,46.6166,10.7002,33.03,76,37,2.93,IT,1668967387
295,khatanga,71.9667,102.5,-32.03,100,91,4.05,RU,1668967968
296,kabelvag,68.2114,14.4817,32.0,86,0,6.91,NO,1668967969
297,sorong,-0.8833,131.25,76.86,88,93,5.28,ID,1668967969
298,namatanai,-3.6667,152.4333,78.39,78,43,7.23,PG,1668967969
299,vardo,70.3705,31.1107,35.58,80,100,6.91,NO,1668967969
300,muroto,33.2833,134.15,66.38,73,99,8.08,JP,1668967970
301,oktyabrskoye,43.0645,44.7417,44.74,87,67,8.95,RU,1668967970
302,jacareacanga,-6.2222,-57.7528,88.54,53,45,1.74,BR,1668967971
303,kushmurun,52.4503,64.6311,4.71,95,14,1.59,KZ,1668967430
304,tarauaca,-8.1614,-70.7656,96.24,40,34,4.16,BR,1668967971
305,waddan,29.1614,16.139,67.33,29,68,8.21,LY,1668967971
306,quebo,11.3333,-14.9333,80.62,41,31,5.68,GW,1668967971
307,chicama,-7.8447,-79.1469,68.54,56,43,10.02,PE,1668967972
308,xining,36.6167,101.7667,28.27,44,88,1.36,CN,1668967972
309,port said,31.2565,32.2841,74.03,59,34,17.02,EG,1668967972
310,raymond,43.9015,-70.4703,38.01,49,22,15.41,US,1668967973
311,nova ushytsya,48.8372,27.2743,32.25,99,100,3.11,UA,1668967973
312,aborlan,9.4352,118.5492,78.58,88,99,1.45,PH,1668967973
313,nokaneng,-19.6667,22.2667,93.25,15,36,5.41,BW,1668967973
314,vershino-darasunskiy,52.35,115.5167,-3.51,88,8,3.42,RU,1668967974
315,troitsko-pechorsk,62.7084,56.1964,23.85,95,100,5.82,RU,1668967974
316,bonfim,3.0833,-59.95,86.43,57,61,5.06,BR,1668967974
317,wamba,8.9333,8.6,81.52,28,17,1.97,NG,1668967763
318,roald,62.5833,6.1333,37.76,60,0,9.22,NO,1668967975
319,half moon bay,37.4636,-122.4286,60.62,55,20,5.75,US,1668967975
320,beloha,-25.1667,45.05,71.06,85,100,13.56,MG,1668967976
321,ixtapa,20.7,-105.2,78.22,65,75,3.44,MX,1668967976
322,abu dhabi,24.4667,54.3667,80.71,68,20,11.5,AE,1668967976
323,ahipara,-35.1667,173.1667,61.48,91,98,10.8,NZ,1668967976
324,lovozero,68.005,35.0117,16.11,87,8,1.9,RU,1668967977
325,hit,33.6416,42.8251,64.85,50,0,10.45,IQ,1668967977
326,parrita,9.5201,-84.3225,81.86,77,38,4.43,CR,1668967977
327,ponta delgada,37.7333,-25.6667,67.5,82,75,16.11,PT,1668967978
328,korla,41.7597,86.1469,36.75,37,60,3.22,CN,1668967392
329,santa rosa,14.3122,121.1114,81.09,92,98,7.61,PH,1668967797
330,lorengau,-2.0226,147.2712,81.88,72,88,9.15,PG,1668967978
331,sioux lookout,50.1001,-91.917,17.67,79,100,12.66,CA,1668967978
332,baripada,21.935,86.7214,69.13,51,66,5.73,IN,1668967979
333,pingliang,35.5392,106.6861,39.27,45,98,6.29,CN,1668967979
334,sao domingos,-13.3983,-46.3183,81.63,53,95,5.08,BR,1668967705
335,padang,-0.9492,100.3543,76.08,87,94,3.85,ID,1668967979
336,esperance,-33.8667,121.9,55.63,64,100,8.81,AU,1668967403
337,sobolevo,54.4299,31.8996,17.53,94,100,6.11,RU,1668967980
338,luganville,-15.5333,167.1667,78.46,86,38,4.5,VU,1668967980
339,alappuzha,9.49,76.3264,77.0,74,100,4.07,IN,1668967981
340,wembley,-31.9333,115.8,61.0,67,0,24.16,AU,1668967753
341,olafsvik,64.8945,-23.7142,43.38,79,69,16.51,IS,1668967981
342,lajas,18.05,-67.0593,86.36,73,14,15.99,PR,1668967981
343,kurumkan,54.3,110.3,-2.45,89,22,3.27,RU,1668967981
344,gornyye klyuchi,45.25,133.5,28.36,98,100,0.85,RU,1668967982
345,muriwai beach,-36.8167,174.45,62.76,97,81,11.25,NZ,1668967891
346,inyonga,-6.7167,32.0667,68.13,79,94,3.83,TZ,1668967982
347,san jose,37.3394,-121.895,63.25,53,0,1.01,US,1668967186
348,conceicao das alagoas,-19.9147,-48.3883,92.16,27,50,2.75,BR,1668967983
349,dholka,22.7167,72.4667,71.98,34,0,4.92,IN,1668967983
350,iqaluit,63.7506,-68.5145,6.53,72,75,2.3,CA,1668967983
351,candido mendes,-1.4467,-45.7167,86.58,57,66,6.17,BR,1668967983
352,trairi,-3.2778,-39.2689,85.17,62,35,15.59,BR,1668967952
353,chalus,36.655,51.4204,51.26,87,0,0.0,IR,1668967984
354,kabompo,-13.5927,24.2008,76.89,48,80,7.43,ZM,1668967984
355,porto recanati,43.4365,13.6613,55.98,38,98,21.94,IT,1668967985
356,ouadda,8.0777,22.4007,73.62,33,85,4.83,CF,1668967985
357,abha,18.2164,42.5053,59.25,36,20,14.97,SA,1668967832
358,talant,47.3369,5.0089,45.41,93,100,8.05,FR,1668967985
359,oconomowoc,43.1117,-88.4993,26.47,62,100,8.05,US,1668967985
360,fasa,28.9383,53.6482,56.44,51,20,0.0,IR,1668967986
361,nizhniy kuranakh,58.8353,125.4869,-13.86,100,98,0.78,RU,1668967986
362,merauke,-8.4667,140.3333,78.44,89,100,5.75,ID,1668967986
